,mean,std,min,q1,median,q3,max,iqr,skew,kurtosis,label
0,1481.25,1849.6125074559893,0.0,0.0,697.0,2402.25,12522.0,2402.25,1.5854695933769767,2.743842933811217,pulsar
1,1478.4922222222222,1848.7476989611591,0.0,0.0,693.0,2411.0,12522.0,2411.0,1.585326440425273,2.739601646041901,pulsar
2,1471.2144444444446,1845.3438323226042,0.0,0.0,678.0,2385.5,12522.0,2385.5,1.5974394373003475,2.793968368119551,pulsar
3,1468.4666666666667,1845.2438211008125,0.0,0.0,670.5,2380.5,12522.0,2380.5,1.6011415437863112,2.8053476054779396,pulsar
4,1466.6616666666666,1843.2321267617754,0.0,0.0,672.5,2358.0,12522.0,2358.0,1.600364076605373,2.7984799463856276,pulsar
5,1465.0177777777778,1853.754472396649,0.0,0.0,667.5,2340.75,12522.0,2340.75,1.6409708616178464,3.048540618893044,pulsar
6,1462.3922222222222,1838.0244583369267,0.0,0.0,673.0,2358.0,12522.0,2358.0,1.5988458627357218,2.8092357617824395,pulsar
7,1467.5644444444445,1841.4004577087658,0.0,0.0,675.0,2385.5,12522.0,2385.5,1.5902561849622068,2.7639121439345087,pulsar
8,1468.575,1834.01864043727,0.0,8.25,697.5,2382.75,12522.0,2374.5,1.5899818442901692,2.797024249742266,pulsar
9,1450.388888888889,1820.9533182076893,0.0,3.0,678.0,2339.0,12522.0,2336.0,1.6263132278806063,3.0014469523844594,pulsar
10,1455.6966666666667,1827.18926420202,0.0,0.0,678.0,2346.5,12522.0,2346.5,1.6202433818495015,2.9651141882331156,pulsar
11,1473.6783333333333,1841.8589638969959,0.0,9.75,695.0,2390.0,12522.0,2380.25,1.5993551306142544,2.8467547379866587,pulsar
12,1484.763888888889,1854.9028065394823,0.0,0.0,700.0,2419.0,12522.0,2419.0,1.5948631153436532,2.8137927537025393,pulsar
13,1484.4,1853.2776115582515,0.0,3.0,699.5,2419.0,12522.0,2416.0,1.596060477433622,2.825723447998557,pulsar
14,1492.5483333333334,1851.9295245108178,0.0,12.0,723.5,2424.5,12522.0,2412.5,1.5964040282421217,2.848714856969003,pulsar
15,1486.786111111111,1854.8047952819095,0.0,5.5,701.0,2406.5,12522.0,2401.0,1.6009944413198565,2.8428839851219903,pulsar
16,1492.8038888888889,1862.5305178264286,0.0,3.0,703.5,2417.25,12522.0,2414.25,1.601872377921872,2.832918712731962,pulsar
17,1494.4033333333334,1857.5024220752887,0.0,0.0,700.0,2424.0,12522.0,2424.0,1.5734558092228175,2.68817162084096,pulsar
18,1488.638888888889,1842.029126712266,0.0,0.0,700.0,2424.0,11227.0,2424.0,1.5100116546757463,2.2060203670983802,pulsar
19,1485.685,1833.8101189035044,0.0,0.0,703.5,2419.0,11227.0,2419.0,1.5028482028912387,2.1941523548385926,pulsar
20,1501.045,1840.1290797696797,0.0,5.5,729.0,2449.0,11227.0,2443.5,1.484130541335531,2.1180064162546794,pulsar
21,1514.9155555555556,1850.1929781062597,0.0,12.0,733.0,2469.5,11227.0,2457.5,1.4796258394757775,2.109805769208806,pulsar
22,1523.3861111111112,1863.6717535639468,0.0,12.0,735.0,2482.25,11227.0,2470.25,1.4847110427294115,2.1144637754939786,pulsar
23,1521.236111111111,1863.7942217055866,0.0,15.0,737.0,2466.5,11227.0,2451.5,1.4949572144804835,2.1407949367814383,pulsar
24,1517.4422222222222,1852.2494870582243,0.0,16.75,739.0,2463.75,11227.0,2447.0,1.4985169758565389,2.1878178757836966,pulsar
25,1514.1577777777777,1846.781043903032,0.0,12.0,738.5,2463.0,11227.0,2451.0,1.492992573978561,2.1680094910973424,pulsar
26,1519.5705555555555,1850.5974704939126,0.0,16.75,745.0,2463.0,11227.0,2446.25,1.4882932271076859,2.1412263443491644,pulsar
27,1508.6916666666666,1845.957025986007,0.0,3.0,742.0,2433.5,11227.0,2430.5,1.5070480896692773,2.215010830977446,pulsar
28,1514.89,1845.7922703220574,0.0,12.0,755.5,2448.25,11227.0,2436.25,1.4933204967279066,2.156259404362507,pulsar
29,1502.5527777777777,1839.9223493938105,0.0,9.0,751.0,2421.0,11227.0,2412.0,1.5138124232133159,2.238964098838484,pulsar
30,1481.9027777777778,1816.6618097973742,0.0,0.0,735.0,2394.0,11227.0,2394.0,1.483838826305985,2.030887750003323,pulsar
31,1487.2483333333332,1819.2853421591426,0.0,0.0,734.0,2417.25,11227.0,2417.25,1.4703574633502814,1.9836149368012177,pulsar
32,1491.5427777777777,1810.46274073197,0.0,0.0,746.0,2417.25,11227.0,2417.25,1.4448325193107883,1.8644995341746617,pulsar
33,1492.0116666666668,1804.222153162619,0.0,3.0,756.0,2417.25,11227.0,2414.25,1.4442290000150935,1.8829780276428356,pulsar
34,1483.0005555555556,1798.152237169448,0.0,9.0,748.5,2400.0,11227.0,2391.0,1.452520507882705,1.9138670526251782,pulsar
35,1477.828888888889,1792.4426263662592,0.0,3.0,754.5,2384.0,11227.0,2381.0,1.4625764214105388,1.9690211073971988,pulsar
36,1492.2827777777777,1815.8427008753988,0.0,0.0,757.5,2397.5,11227.0,2397.5,1.4960947478774618,2.162740443093455,pulsar
37,1494.3822222222223,1814.6147512360906,0.0,0.0,757.5,2408.75,11227.0,2408.75,1.4822996215531228,2.1193483515905984,pulsar
38,1503.8566666666666,1827.9941231266744,0.0,3.0,755.5,2430.5,11227.0,2427.5,1.4803001200526886,2.08373128859513,pulsar
39,1510.9133333333334,1833.1008384647007,0.0,12.0,756.5,2448.25,11227.0,2436.25,1.4797908853721025,2.097618859279445,pulsar
